CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,SoilTemp,PAWmm,NH4,NO3,Urea,OrganicC,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2017-04-25 12:00:00,2017,115,,1,NA,NA,NA,0,25.139999389648438,24.020000457763672,17.415000438690186,10.8100004196167,7.415000438690187,0,18.5746790134709,356.2988644037046,1.9650133592789312,20.616423453447492,0,78945.44195079713,0,0,1,0.7415000438690186,1,NA,Simulation,375
1,1,Field,2017-04-26 12:00:00,2017,116,,1,NA,NA,NA,0,23.8700008392334,26.6200008392334,20.175000190734863,13.729999542236328,10.175000190734865,0,18.38491438988912,351.6945802938225,1.8892108316921612,20.776346742514058,0,78951.36002432246,0,0,1,1,1,NA,Simulation,375
1,1,Field,2017-04-27 12:00:00,2017,117,,1,NA,NA,NA,3.2100000381469727,13.199999809265137,17.969999313354492,12.709999561309814,7.449999809265137,3.194493405073881,0,18.240876358556125,352.63596578182666,1.7989376425300931,20.923657378935943,0,78950.37806211217,0,0,1,0.27099995613098143,1,NA,Simulation,375
1,1,Field,2017-04-28 12:00:00,2017,118,,1,NA,NA,NA,20.559999465942383,9.710000038146973,22.90999984741211,15.039999961853027,7.170000076293945,5.472640196776391,0,17.8281187871795,370.4142201164843,1.7405665650901412,21.04691960560889,0,78958.44156651922,0,0,1,0.5039999961853028,1,NA,Simulation,375
1,1,Field,2017-04-29 12:00:00,2017,119,,1,NA,NA,NA,32.439998626708984,14.210000038146973,25.59000015258789,20.890000343322754,16.190000534057617,10.890000343322754,0,17.502161509706706,390.7179027299921,1.7333297300163606,21.14934559480804,0,78975.84565173645,0,0,1,1,1,NA,Simulation,375
1,1,Field,2017-04-30 12:00:00,2017,120,,1,NA,NA,NA,5.090000152587891,8.470000267028809,24.170000076293945,21.664999961853027,19.15999984741211,11.664999961853027,0,17.54980312431999,393.911234068246,1.7308572578271988,21.241379325992867,0,78990.92261904954,0,0,1,1,1,NA,Simulation,375
1,1,Field,2017-05-01 12:00:00,2017,121,,1,NA,NA,NA,6.079999923706055,12.569999694824219,19.799999237060547,13.959999561309814,8.119999885559082,4.22603760124445,0,17.68545804292576,397.43105047880147,1.6969269961118973,21.313956667847265,0,78995.52408022457,0,0,1,0.3959999561309815,1,NA,Simulation,375
1,1,Field,2017-05-02 12:00:00,2017,122,,1,NA,NA,NA,0.5899999737739563,21.420000076293945,18.530000686645508,12.290000438690186,6.050000190734863,3.211600344926119,0,17.53667788457175,393.7705173019197,1.6448695523715233,21.40386140691473,0,78996.57613516887,0,0,1,0.22900004386901857,1,NA,Simulation,375
1,1,Field,2017-05-03 12:00:00,2017,123,,1,NA,NA,NA,0.7599999904632568,12.829999923706055,12.84000015258789,8.160000085830688,3.4800000190734863,0.6598875514417888,0,17.14160199105932,391.80167177959794,1.5954866423463419,21.472073718494475,0,78994.67335538506,0,0,1,0,1,NA,Simulation,375
1,1,Field,2017-05-04 12:00:00,2017,124,,1,NA,NA,NA,26.68000030517578,4.800000190734863,18.889999389648438,13.894999504089355,8.899999618530273,3.995549228453636,0,16.562838632390662,410.3433519865823,1.5797657831158387,21.4830886332668,0,78999.63193943085,0,0,1,0.3894999504089356,1,NA,Simulation,375
1,1,Field,2017-05-05 12:00:00,2017,125,,1,NA,NA,NA,26.809999465942383,5.179999828338623,10.229999542236328,7.629999876022339,5.03000020980835,0.009282445278763873,0,16.09503695720563,428.61199682433477,1.5538645934590218,21.45845433418747,0,78999.62148621136,0,0,1,0,1,NA,Simulation,375
1,1,Field,2017-05-06 12:00:00,2017,126,,1,NA,NA,NA,0.9800000190734863,23.59000015258789,14.819999694824219,9.28499984741211,3.75,1.3655453762054446,0,15.52947318626319,424.0384934415476,1.514324086703887,21.452898531427717,0,78999.8914751615,0,0,1,0,1,NA,Simulation,375
1,1,Field,2017-05-07 12:00:00,2017,127,,1,NA,NA,NA,0,29.790000915527344,16.75,9.305000007152557,1.8600000143051147,1.970128501349688,0,15.049396245344006,417.01201531010787,1.4878410677008354,21.43134225599981,0,78999.01646247685,0,0,1,0,1,NA,Simulation,375
1,1,Field,2017-05-08 12:00:00,2017,128,,1,NA,NA,NA,2.0899999141693115,24.739999771118164,19.1200008392334,9.945000410079956,0.7699999809265137,2.8286778386354445,0,14.682679765900868,413.237809747449,1.4647252356117781,21.399159561960754,0,78997.90568982819,0,0,1,0,1,NA,Simulation,375
