CheckpointID,SimulationID,Zone,Date,Year,DOY,StageName,Stage,SimSowDate,SimMatDate,SimHarvestDate,Rain,Radn,MaxT,MeanT,MinT,ThermalTime,AccEmTT,Yieldkgha,FracGrowthRate,NutrientStress,TempStress,WaterStress,Result,SimulationName,ID
1,1,Field,2019-05-04 12:00:00,2019,124,,1,NA,NA,NA,0,21.030092239379883,20.049999237060547,14.614999771118164,9.180000305175781,4.6530270518064505,0,0,0,1,0.46149997711181645,1,NA,Simulation,62
1,1,Field,2019-05-05 12:00:00,2019,125,,1,NA,NA,NA,0,25.839744567871094,23.260000228881836,15.105000019073486,6.949999809265137,5.582686684429645,0,0,0,1,0.5105000019073487,1,NA,Simulation,62
1,1,Field,2019-05-06 12:00:00,2019,126,,1,NA,NA,NA,1.6699999570846558,23.251422882080078,24.920000076293945,18.199999809265137,11.479999542236328,8.199999809265137,0,0,0,1,0.8199999809265137,1,NA,Simulation,62
1,1,Field,2019-05-07 12:00:00,2019,127,,1,NA,NA,NA,7.960000038146973,13.337957382202148,23.450000762939453,18.950000286102295,14.449999809265137,8.950000286102293,0,0,0,1,0.8950000286102295,1,NA,Simulation,62
1,1,Field,2019-05-08 12:00:00,2019,128,,1,NA,NA,NA,2,13.982088088989258,23.459999084472656,18.75499963760376,14.050000190734863,8.75499963760376,0,0,0,1,0.875499963760376,1,NA,Simulation,62
1,1,Field,2019-05-09 12:00:00,2019,129,,1,NA,NA,NA,0,11.995074272155762,15.680000305175781,13.050000190734863,10.420000076293945,3.050000190734864,0,0,0,1,0.30500001907348634,1,NA,Simulation,62
1,1,Field,2019-05-10 12:00:00,2019,130,,1,NA,NA,NA,5.010000228881836,15.974051475524902,16.489999771118164,11.474999904632568,6.460000038146973,2.352717089802027,0,0,0,1,0.14749999046325685,1,NA,Simulation,62
1,1,Field,2019-05-11 12:00:00,2019,131,,1,NA,NA,NA,7.699999809265137,8.451600074768066,12.680000305175781,10.385000228881836,8.09000015258789,0.9069336381912232,0,0,0,1,0.0385000228881836,1,NA,Simulation,62
1,1,Field,2019-05-12 12:00:00,2019,132,,1,NA,NA,NA,4.730000019073486,14.871618270874023,15.25,10.914999961853027,6.579999923706055,1.8087046745419502,0,0,0,1,0.09149999618530275,1,NA,Simulation,62
1,1,Field,2019-05-13 12:00:00,2019,133,,1,NA,NA,NA,0,25.957849502563477,18.950000762939453,12.190000295639038,5.429999828338623,3.2974628181010486,0,0,0,1,0.21900002956390383,1,NA,Simulation,62
1,1,Field,2019-05-14 12:00:00,2019,134,,1,NA,NA,NA,7.440000057220459,20.907371520996094,25.350000381469727,16.565000295639038,7.78000020980835,6.813184115189314,0,0,0,1,0.6565000295639039,1,NA,Simulation,62
1,1,Field,2019-05-15 12:00:00,2019,135,,1,NA,NA,NA,0,26.319717407226563,28.510000228881836,20.660000324249268,12.8100004196167,10.660000324249266,0,0,0,1,1,1,NA,Simulation,62
1,1,Field,2019-05-16 12:00:00,2019,136,,1,NA,NA,NA,0,25.222850799560547,31.170000076293945,23.739999771118164,16.309999465942383,13.468146124362946,0,0,0,1,1,1,NA,Simulation,62
1,1,Field,2019-05-17 12:00:00,2019,137,,1,NA,NA,NA,0,22.129558563232422,29.540000915527344,23.800000190734863,18.059999465942383,13.800000190734863,0,0,0,1,1,1,NA,Simulation,62
1,1,Field,2019-05-18 12:00:00,2019,138,,1,NA,NA,NA,7.659999847412109,15.761271476745605,27.8700008392334,22.655000686645508,17.440000534057617,12.655000686645508,0,0,0,1,1,1,NA,Simulation,62
1,1,Field,2019-05-19 12:00:00,2019,139,,1,NA,NA,NA,0,17.449481964111328,22.190000534057617,18.365000247955322,14.539999961853027,8.365000247955322,0,0,0,1,0.8365000247955323,1,NA,Simulation,62
1,1,Field,2019-05-20 12:00:00,2019,140,,1,NA,NA,NA,34.47999954223633,15.758508682250977,18.09000015258789,13.579999923706055,9.069999694824219,3.6549882420063025,0,0,0,1,0.3579999923706055,1,NA,Simulation,62
1,1,Field,2019-05-21 12:00:00,2019,141,,1,NA,NA,NA,15.220000267028809,16.711078643798828,18.579999923706055,13.824999809265137,9.069999694824219,3.891431506562234,0,0,0,1,0.3824999809265137,1,NA,Simulation,62
